,MULCH,LITTER,WEEDINESS,Abutilon theophrasti,Acalypha rhomboidea,Acer campestre,Acer negundo,Acer rubra,Acer saccharinum,Acer sp.,Achillea millefolium,Adiantum pedatum,Agrostis gigantea,Agrostis perennans,Agrostis sp.,Agrostis stolonifera,Ailanthus altissima,Allium canadense,Allium cernuum,Allium stellatum,Amaranthus hybridus,Amaranthus retroflexus,Ambrosia artemisiifolia,Ambrosia trifida,Amelanchier arborea,Anemone sp.,Apocynum cannabinum,Aquilegia canadensis,Arctium lappa,Arctium minus,Arisaema dracontium,Arisaema triphyllum,Artemisia biennis,Artemisia vulgaris,Ascelpias incarnata,Ascelpias syriaca,Asclepias sullivantii,Asclepias tuberosa,Baptisia australis,Bedstraw-like,Bidens bipinnata,Bidens frondosa,Bouteloua curtipendula,Bromus arvensis,Bromus pubescens,Bromus secalinus,Bromus sp.,Buckwheat MG,Calystegia sepium,Campsis radicans,Carex albicans,Carex emoryi,Carex frankii,Carex radiata,Carex sp.,Carex vulpinoidea,Catalpa speciosa,Celastrus orbiculatus,Celtis occidentalis,Cenchus longispinus,Centaurea stoebe,Cerastium vulgatum,Cercis canadensis,Chasmanthium latifolium,Chenopdium album,Chrystanthemum indicum,Cichorium intybus,Circaea lutetiana,Cirsium arvense,Cirsium vulgare,Clematis terniflora,Commelina communis,Convolvulus arvensis,Coreopsis 'Big Bang',Coreopsis lanceolata,Coreopsis palmata,Coreopsis tripteris,Coreopsis x hybrida,Cornus drummondii,Cornus sp.,Crataegus phaenopyrum,Cynanchum laeve,Cynodon dactylon,Cyperus esculentus,Cyperus sp.,Dactylis glomerata,Datura stramonium,Daucus carota,Delphinium carolinianum,Deschampia cespitosa,Digitaria ischaemum,Digitaria sanguinalis,Dodecatheon meadia,Dryopteris marginalis,Duchesnea indica,Echinacea purpurea,Echinochloa crus-galli,Eleusine indica,Elymus repens,Elymus virginicus,Erechtites hieracifolia,Erigeron annuus,Erigeron canadensis,Erigeron strigosus,Eryngium yuccifoliam,Eunoymus fortunei,Eupatorium perfoliatum,Eupatorium purpureum,Eupatorium serotinum,Euphorbia humistrata,Euphorbia maculata,Euphorbia nutans,Eutrochium maculatum,Fallopia convolvulus,Fallopia scandens,Festuca arundicaceae,Filipendula rubra,Fragaria v esca,Fraxinus sp.,Gallinsoga parviflora,Geranium carolinianum,Geum canadense,Glechoma hederaceae,Gleditsia triacanthos,Helianthus occidentalis,Helianthus sp.,Heliopsis helianthoides,Hemerocalis sp.,Hemerocallis fulva,Hesperis matronalis,Hosta sp.,Humulus japonicus,Hybiscus syriacus,Hylotelephium telephium,Hypochaeris radicata,Ipomea hederacea,Ipomea lacunosa,Ipomea purpurea,Iris versicolor,Iris virginica shrevei,Juglans nigra,Juncus effusus ,Juniperus virginiana,Lactuca canadensis,Lactuca serriola,Lactuca virosa,Laportea canadensis,Lepidium virginicum,Liatris spicata,Lilium michiganense,Lillium philadelphicum,Linaria vulgaris,Lindera benzoin,Liriodendron tulipifera,Liriope spicata,Lirope,Lobelia cardinalis,Lobelia siphilitica,Lolium perenne,Long blade grass,Long leaf sedge,Lonicera maackii,Lonicera tatarica,Matteuccia struthiopteris,Medicago lupulina,Medium sedge,Melilotus alba,Melilotus sp.,Mertensia virginica,Mikania scandens,Mimulus ringens,Miscanthus sp.,Monarda fistulosa,Morus alba,Narcissus sp.,Nepeta cataria,Osmunda cinnamomea,Other hoplike,Oxalis stricta,Paeonia sp.,Panicum capillare,Panicum virgatum,Parthenium integrifolium,Parthenocissus quinquefolia,Pelargonium sp.,Penstemon calycosus,Penstemon cobaea,Penstemon digitalis,Persicaria maculosa,Phleum pratense,Phlox divaricata,Physalis longifolia,Physostegia virginiana,Phytolacca americana,Plantago lanceolata,Plantago major,Platanus occidentalis,Poa sp.,Pokeweed-like,Polygonum aviculare,Polygonum caespitosum,Polygonum convulvulus,Polygonum pennsylvanica,Polygonum virginianum,Polystichum acrostichoides,Populus alba,Populus tremuloides,Portulaca oleracea,Prunus serotina,Prunus sp.,Pycnanthemum tenuifolium,Pycnanthemum virginianum,Pyrus callerya,Quercus sp.,Ranunculus abortivus,Ratibida pinnata,Rhus aromatica,Ribes uva-crispa,Rosa multiflora,Rubus allegheniensis,Rubus idaeus,Rubus plicatus,Rudbeckia fulgida,Rudbeckia hirta,Rudbeckia laciniata,Rudbeckia subtomentosa,Rumex crispus,Schedonorus pratensis,Schizachyrium scoparium,Scirpus pendulus,Scutellaria incana,Setaria faberi,Setaria glauca,Setaria viridis,Sida spinosa,Silene sp.,Silphium laciniatum,Siplhium perfoliatum,Sisymbrium officinale,Solanum carolinense,Solanum dulcamara,Solanum ptycanthum,Solidago caesia,Solidago canadensis,Solidago flexicaulis,Solidago rigida,Solidago sp.,Solidago speciosa,Sonchus asper,Sonchus oleraceus,Sorghum halepense,Sporobolus heterolepis,Stellaria media,Stellaria pallida,Stylophorum diphyllum,Symphyotrichum azureus,Symphyotrichum cordifolium,Symphyotrichum dumosum,Symphyotrichum ericoides,Symphyotrichum laeve,Symphyotrichum lateriflorum,Symphyotrichum macrophyllus,Symphyotrichum novae-angliae,Symphyotrichum oolentangiense,Symphyotrichum pilosum,Symphyotrichum shortii,Symphytum officinale,Taraxacum officinale,Thalictrum dioicum,Tiny white flower aster,Torilis arvensis,Toxicodendron radicans,Tradescantia ohioensis,Tradescantia sp.,Tragopogon dubium,Trifolium pratense,Trifolium repens,Triodanis perfoliata,Ulmus pumila,Ulmus rubra,Verbena bracteata,Verbena hastata,Vernonia fasciculata,Veronia gigantea,Veronica arvensis,Veronica persica,Veronica serpyllifolia,Veronicastrum virginicum,Vincetoxicum rossicum,Viola sororia,Vitis labrusca,Vitis riparia,Vitis vinifera,Vitis vulpina,Vitus labrusca
Athenaeum,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bauman Park,2,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Center for Inquiry,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinqpin Oak Park,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Community Caring & Sharing,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
